,name,id,team,position,mean_points,mean_minutes,mean_goals_scored,mean_assists,mean_clean_sheets,mean_goals_conceded,mean_own_goals,mean_saves,mean_bonus,mean_bps,mean_influence,mean_creativity,mean_threat,mean_ict,mean_xg,mean_xa,mean_xgi,mean_xgc,mean_opp_att,mean_opp_def,latest_points
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,1118.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,1152.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.0,1198.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.0,1204.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,1186.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1180.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.0,1172.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,1116.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.0,1114.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,1132.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.0,1098.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,1116.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,1118.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,1152.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.0,1198.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.0,1204.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,1186.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1180.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.0,1172.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,1116.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.0,1114.0,0
0,Pablo Marí Villar,20,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,1132.0,0
0,William Saliba,26,Arsenal,DEF,5.8,90.0,0.2,0.2,0.4,0.8,0.2,0.0,1.2,23.0,24.52,4.779999999999999,3.8,3.3,0.01986,0.0116,0.03146,0.6474,1106.0,1098.0,0
0,William Saliba,26,Arsenal,DEF,4.2,90.0,0.2,0.2,0.2,1.4,0.2,0.0,0.8,19.2,22.16,4.9399999999999995,4.6,3.1599999999999997,0.03554,0.012338,0.047878,0.7154,1112.0,1116.0,15
0,William Saliba,26,Arsenal,DEF,7.4,90.0,0.4,0.2,0.4,1.0,0.0,0.0,1.4,26.0,31.360000000000003,5.0,11.6,4.779999999999999,0.06842,0.012709999999999999,0.08113,0.72994,1100.0,1118.0,1
0,William Saliba,26,Arsenal,DEF,4.8,90.0,0.2,0.2,0.2,1.2,0.0,0.0,1.0,21.0,25.12,5.319999999999999,9.0,3.9400000000000004,0.04856,0.017118,0.065678,0.9886000000000001,1128.0,1152.0,1
0,William Saliba,26,Arsenal,DEF,3.6,90.0,0.2,0.0,0.2,1.4,0.0,0.0,0.6,18.2,22.240000000000002,3.2600000000000002,8.6,3.4200000000000004,0.04856,0.015932,0.06449200000000001,1.048,1174.0,1198.0,5
0,William Saliba,26,Arsenal,DEF,4.4,90.0,0.2,0.0,0.4,1.2,0.0,0.0,0.6,20.6,22.4,1.16,8.6,3.2199999999999998,0.04856,0.009966,0.058526,1.3287400000000003,1164.0,1204.0,2
0,William Saliba,26,Arsenal,DEF,4.8,90.0,0.2,0.0,0.4,0.8,0.0,0.0,0.6,21.8,24.52,1.18,7.8,3.3600000000000003,0.03288,0.01051,0.04339,1.15312,1156.0,1186.0,7
0,William Saliba,26,Arsenal,DEF,3.2,87.0,0.0,0.0,0.4,0.8,0.0,0.0,0.2,19.4,16.64,3.28,0.8,2.1,0.0,0.013258,0.013258,1.12416,1150.0,1180.0,8
0,William Saliba,26,Arsenal,DEF,4.6,87.0,0.0,0.0,0.6,0.6,0.0,0.0,0.6,22.2,16.72,3.66,0.8,2.1399999999999997,0.0,0.008864,0.008864,0.86762,1148.0,1172.0,6
0,William Saliba,26,Arsenal,DEF,5.6,87.0,0.0,0.0,0.8,0.2,0.0,0.0,0.6,24.6,16.759999999999998,3.8600000000000003,0.8,2.16,0.0,0.010252,0.010252,0.7775200000000001,1114.0,1116.0,2
0,William Saliba,26,Arsenal,DEF,5.0,87.0,0.0,0.0,0.6,0.4,0.0,0.0,0.6,22.2,17.4,4.0,7.4,2.9,0.08299999999999999,0.011232,0.09423200000000001,0.62038,1124.0,1114.0,1
0,William Saliba,26,Arsenal,DEF,4.8,87.0,0.0,0.0,0.6,0.6,0.0,0.0,0.6,20.6,15.88,3.84,8.2,2.8200000000000003,0.10866,0.009726,0.11838600000000002,0.7146399999999999,1134.0,1132.0,7
0,Oleksandr Zinchenko,313,Arsenal,DEF,3.8,49.6,0.0,0.2,0.4,0.4,0.0,0.0,0.6,16.0,12.2,8.74,6.6,2.74,0.02246,0.086862,0.109322,0.35912,1106.0,1098.0,1
0,Oleksandr Zinchenko,313,Arsenal,DEF,1.6,47.8,0.0,0.0,0.2,0.8,0.0,0.0,0.0,10.8,4.64,4.72,2.8,1.2000000000000002,0.016300000000000002,0.024465999999999998,0.040766,0.36639999999999995,1112.0,1116.0,0
0,Oleksandr Zinchenko,313,Arsenal,DEF,1.4,32.6,0.0,0.0,0.2,0.4,0.0,0.0,0.0,7.8,3.16,3.1399999999999997,0.4,0.6599999999999999,0.0,0.01669,0.01669,0.30584,1100.0,1118.0,2
